domain	capability	status	conditions	best_fit	tradeoffs	known_failure_modes	workaround_or_alternative	evidence_path
runtime	Session-local file creation, editing, packaging, and deletion	VERIFIED	Linux session runtime with /mnt/data workspace	Report generation; code/data transformation; archive staging	Fast and flexible but ephemeral	Assuming local existence implies durability	Explicit artifact handoff; Git/Drive persistence	docs/part-1-project-workflow/session-local-workspace.md
runtime	Shell and Python execution	VERIFIED	Current sandbox tool surface	Automation; transformation; diagnostics; build orchestration	Execution call boundaries can interrupt long monolithic commands	Long command exceeds call boundary	Split phases; resume; cache; checkpoint	docs/part-3-execution-workspace/assessment.md
runtime	Native C/C++ compile, link, and execute	VERIFIED	Observed Debian x86_64 CPU runtime	Native utilities; extension work; small/medium native projects	Memory more constraining than visible CPU count	Over-parallel build; missing dev headers	Conservative -j; provision deps through mirrors	evidence/part-3-execution-workspace/runtime-profile/build_capability_probe.log
runtime	Incremental native build/test/debug loop	VERIFIED	CPython pilot; cached build state	Systems development; C extension debugging	Initial clean bootstrap can be expensive	Configure/build interruption; stale mtime/object relationship	Cached configure; incremental targets; touch/rebuild; preserve logs	docs/part-3-execution-workspace/cpython-pilot.md
runtime	Native debugging with GDB	VERIFIED	GDB installed in active runtime; debug-capable binary	Breakpoint/backtrace/source-line diagnosis	Installed debugger may disappear after runtime reset	Assuming installed debugger survives runtime reset	Runtime health check; reinstall from available mirror; checkpoint debug logs	docs/part-3-execution-workspace/cpython-pilot.md
runtime	Long-lived runtime filesystem continuity	NOT_OBSERVED	Runtime reset was directly observed	None; do not design around this assumption	Runtime and package state can disappear	Treating /mnt/data and installed packages as durable	Checkpoint early; Git for source state; Drive for raw archives	docs/part-3-execution-workspace/runtime-lifecycle.md
runtime	Selective artifact rehydration after runtime reset	VERIFIED_WITH_CONDITIONS	Observed for individually persisted artifacts in one reset event	Recovery of previously handed-off objects	Not recursive; not all large artifacts survived	Assuming directory handoff preserves recursive tree	Persist critical files individually; verify actual durable objects	docs/part-3-execution-workspace/runtime-lifecycle.md
dependency	Python packages through uv and internal PyPI	VERIFIED	Internal PyPI route available	Python tooling and targeted scientific dependency closure	Can diverge from project-declared official environment	Wrong base interpreter; dependency version drift	Pin hashes/versions; record environment; use target overlay or correct interpreter	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Native packages through internal Debian binary/source mirrors	VERIFIED	Mirror routes available in tested runtime	Native build deps; Debian source packages	Environment-specific mirror discovery required	Public Debian DNS blocked	Use internal apt/source mirror; capture package versions	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Private-prefix source builds	VERIFIED_WITH_CONDITIONS	Source obtainable; manageable dependency closure	Small native libraries; isolated custom deps	Build time and transitive dependency burden	Broad closure becomes expensive	Prefer project fallback/subproject when available; external build environment for large closure	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Meson local wraps/subprojects	VERIFIED_WITH_CONDITIONS	Project supports fallback subprojects or staged source archives	Meson projects with controlled fallback deps	Not universal; source acquisition still required	Missing system package and no staged wrap	Pre-stage wrap archive or use internal mirror	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Conan with public ConanCenter	ENVIRONMENT_SENSITIVE	Conan client installable; default public remote was unreachable	C/C++ dependency management when private/local cache exists	Public remote topology can block bootstrap	Conan installed but dependency remote unreachable	Use internal/private Conan remote or staged cache	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Conda/micromamba environment bootstrap	PLAUSIBLE_NOT_TESTED	Requires accessible channel, staged packages, or packed env	Complex scientific stacks; exact environment portability	Channel access not demonstrated	External channels unreachable	Use prepacked environment, internal channel, or alternative venv overlay	docs/part-3-execution-workspace/dependency-provisioning.md
dependency	Spack or Nix bootstrap	PLAUSIBLE_NOT_TESTED	Requires staged mirrors/caches for practical use	Large reproducible dependency graphs	Operationally heavy in restricted network	Bootstrap/cache acquisition cost	Use only when project already has cache/mirror infrastructure	docs/part-3-execution-workspace/dependency-provisioning.md
scientific	Scientific Python execution and biomolecular structure parsing	VERIFIED_WITH_CONDITIONS	CPU environment; targeted dependency closure	Comp bio utilities; data transforms; structure parsing	Exact official environment parity may differ	Package closure/version drift	Record versions; validate outputs; use external environment when parity is essential	docs/part-3-execution-workspace/foundry-pr306-pilot.md
scientific	CPU PyTorch model loading and LigandMPNN inference	VERIFIED_WITH_CONDITIONS	Tested model/input; ~4 GiB memory runtime; CPU Torch path	Targeted model debugging; small-batch protein design inference	CPU performance and memory depend strongly on model/input/threading	Thread oversubscription; broad dependency bootstrap	Cap numerical threads; profile RSS; use cluster/GPU for heavy workloads	docs/part-3-execution-workspace/foundry-pr306-pilot.md
scientific	Thread-capped CPU inference tuning	VERIFIED_WITH_CONDITIONS	Foundry rerun on tested runtime	CPU scientific workloads with many visible cores but low memory	Optimal thread count workload-specific	Unconstrained run ~4m43s versus 4-thread ~11.1s in tested case	Benchmark conservative thread cap before scaling	docs/part-3-execution-workspace/foundry-pr306-pilot.md
scientific	GPU/CUDA execution in sandbox	NOT_OBSERVED	No /dev/dri; no CUDA validation	None established	Do not infer GPU from host-visible tool names or CPU count	Planning GPU workloads around unverified device access	Use external GPU/cluster; recheck future runtime surface	docs/part-3-execution-workspace/assessment.md
scientific	High-memory model workloads	NOT_OBSERVED	Observed runtime ~4 GiB RAM, no swap	None established	Likely memory-bound	OOM risk	External cluster/GPU/high-memory host; reduce batch/model scope	docs/part-3-execution-workspace/assessment.md
scientific	SLURM/HPC execution directly from sandbox	NOT_OBSERVED	No cluster execution path tested	None established	Authentication, network, scheduler integration unresolved	Assuming sandbox replaces HPC environment	Use external cluster as compute backend; design source/artifact handoff separately	docs/part-3-execution-workspace/assessment.md
scientific	Interactive GUI scientific tools in sandbox	NOT_OBSERVED	No GUI path tested	None established	Interactive display and acceleration unresolved	Treating sandbox as desktop workstation	Use local/remote desktop environment; use sandbox for scripts and headless validation	docs/part-3-execution-workspace/assessment.md
persistence	Text artifact handoff from sandbox to persistent artifact layer	VERIFIED_WITH_CONDITIONS	Assistant-authored sandbox reference; later-turn search publication behavior	Small reports; probes; user-facing deliverables	Artifact existence and text search visibility are distinct	Creation alone; stdout path; same-turn search expectation	Explicit sandbox handoff; verify in later turn; keep checksum	docs/part-1-project-workflow/file-library-handoff.md
persistence	Persistent artifact snapshot independence from local overwrite/delete	VERIFIED	Promoted artifact already exists	Immutable evidence snapshots	Re-referencing same path may involve resolver/cache behavior	Assuming promoted object tracks live local path	Use new path/versioned filename for new snapshot	docs/part-1-project-workflow/file-library-handoff.md
persistence	Google Drive upload of session-generated files	VERIFIED_WITH_CONDITIONS	File must resolve to transferable runtime/connector file reference	Emergency off-runtime backup; raw report preservation	Additional handoff layer; connector surface may change	Passing arbitrary raw /mnt/data path directly	Materialize transferable runtime asset; minimal probe first; verify upload and download	docs/part-1-project-workflow/connector-boundaries.md
persistence	Large archive backup to Google Drive with chunking	VERIFIED_WITH_CONDITIONS	Observed connector relay ceiling ~100 MiB; 64 MiB chunks used	Large raw experiment archives	More files and reassembly metadata; backup folder hygiene needed	Single large object rejected by relay ceiling	Deterministic split; CHUNKS.sha256; reassembly instructions; final hash	docs/part-1-project-workflow/connector-boundaries.md
persistence	Drive raw-download round trip and exact archive recovery	VERIFIED	CPython and Foundry rerun chunk backups	High-value raw evidence durability	Extra download and verification cost	Upload success mistaken for recoverability	Raw-download every chunk; hash; reassemble; final SHA; integrity test	docs/part-3-execution-workspace/runtime-lifecycle.md
persistence	Semantic recovery of lost pilot from provenance	VERIFIED_WITH_CONDITIONS	Source/input/checkpoint provenance and procedure available	Recovery after byte-level archive loss	Creates a new evidence object, not original bytes	Conflating rerun with exact recovery	Preserve historical loss record; label rerun independently	docs/part-3-execution-workspace/runtime-lifecycle.md
git	Private repository discovery and read operations through connector	VERIFIED	Connected installation has resource access	Remote source inspection and project state discovery	Connector/API semantics differ from local clone	Assuming shell git credentials exist	Use connector for remote API reads; inspect actual tool surface	docs/part-1-project-workflow/github-connector.md
git	Text file create/update/delete through GitHub connector	VERIFIED	Repository write access; current blob SHA for update/delete	Documentation; scripts; source changes	Per-file Contents API can create noisy history	Many sequential file commits for structural refactor	Use low-level tree/commit path when available; squash PR	docs/part-1-project-workflow/github-connector.md
git	Branch creation, ref movement, compare, PR, merge	VERIFIED_WITH_CONDITIONS	Test repository and connector surface	Repository publication and review workflow	Default-branch direct mutation can be safety-blocked	Direct main ref update blocked in tested path	Feature branch → PR → squash merge	docs/part-1-project-workflow/github-connector.md
git	Direct GitHub Release creation through observed connector surface	NOT_OBSERVED	Private repo access and admin permission were confirmed	None established	Provider support does not imply connector action availability	Treating missing action as permission failure	Recheck current connector surface; manual/external publication; validated automation path	experiments/part-1-project-workflow/github-release-capability.md
git	GitHub Actions-mediated Release publication	PLAUSIBLE_NOT_TESTED	Requires workflow plus trigger available through connector-supported mutation	Automated curated publication	Workflow/token/trigger design unvalidated	No direct workflow_dispatch action observed; no existing workflow in probe repo	Design push-triggered release workflow and test end-to-end before relying on it	experiments/part-1-project-workflow/github-release-capability.md
publication	Immediate durable backup before curation	VERIFIED	Google Drive connector path and chunking workflow	Protect valuable experiment raw input/output quickly	Drive folder organization and duplicate management required	Waiting for final docs/Release before backing up	Compact checkpoint immediately; full archive later; round-trip verify	release-assets/README.md
publication	Curated public Release publication	ENVIRONMENT_SENSITIVE	Requires redistribution review and supported publication path	Stable public evidence distribution	License review; connector capability may be absent	Equating durable backup with publishability	Separate preservation readiness from publication readiness	release-assets/README.md
meta	Approximate chronology reconstruction from artifact metadata and session context	VERIFIED_WITH_CONDITIONS	Relevant File Library objects and session-level context available	Retrospective experiment reporting	Not exact message-level wall-clock history	Treating object timestamps as source file mtimes	Combine object timestamps, session timestamps, semantic ordering	docs/part-2-meta-observability/timeline-reconstruction.md
meta	Exact enumeration/recovery of all historical conversations and turns	NOT_OBSERVED	No conversation object search/list/get surface observed	None established	Context is partial and non-enumerable	Assuming selected context equals complete history	Preserve project state in repo and explicit evidence artifacts	docs/part-2-meta-observability/assessment.md
workflow	Session sandbox as universal execution location	NOT_OBSERVED	Only selected CPU/native/scientific workloads tested	None as universal rule	Can overfit workflow to one runtime	Forcing GPU, GUI, HPC, or high-memory workloads into sandbox	Choose hybrid topology based on workload and durability needs	docs/99-overall-assessment.md
workflow	Hybrid topology: sandbox + Git + Drive + external compute	VERIFIED_WITH_CONDITIONS	Individual components partly verified; external compute integration not tested end-to-end	Research workflows mixing coding, evidence preservation, and heavy compute	More handoff boundaries to manage	Unclear source-of-truth and artifact direction	Define source, execution, checkpoint, artifact, and publication paths explicitly	docs/99-overall-assessment.md
